,1,2,3,4,5
0,6,0,7,7,7
1,6,1,7,7,7
2,6,1,7,7,7
3,6,2,7,7,7
4,6,2,7,7,7
5,6,2,7,7,7
6,6,2,0,7,7
7,6,2,1,7,7
8,6,2,1,7,7
9,6,3,2,7,7
10,6,3,2,7,7
11,6,4,2,7,7
12,6,5,2,0,7
13,6,5,2,1,7
14,6,5,2,1,7
15,6,5,3,2,7
16,6,5,3,2,7
17,6,5,4,2,7
18,6,5,5,2,0
19,6,5,5,2,1
20,6,7,5,2,1
21,6,7,5,3,2
22,6,7,5,3,2
23,6,7,5,4,2
24,6,0,5,5,2
25,6,1,5,5,2
26,6,1,7,5,2
27,6,2,7,5,3
28,6,2,7,5,3
29,6,2,7,5,4
30,6,2,0,5,5
31,6,2,1,5,5
32,6,2,1,7,5
33,6,3,2,7,5
34,6,3,2,7,5
35,6,4,2,7,5
36,6,6,2,0,5
37,6,6,2,1,5
38,6,6,2,1,7
39,6,6,3,2,7
40,6,6,3,2,7
41,6,6,4,2,7
42,6,6,5,2,0
43,6,6,5,2,1
44,6,6,5,2,1
45,6,6,5,3,2
46,6,6,5,3,2
47,6,6,5,4,2
48,0,6,5,5,2
49,1,6,5,5,2
50,1,6,7,5,2
51,2,6,7,5,3
52,2,6,7,5,3
53,2,6,7,5,4
54,2,6,0,5,5
55,2,6,1,5,5
56,2,6,1,7,5
57,3,6,2,7,5
58,3,6,2,7,5
59,4,6,2,7,5
60,5,6,2,0,5
61,5,6,2,1,5
62,5,6,2,1,7
63,5,6,3,2,7
64,5,6,3,2,7
65,5,6,4,2,7
66,5,6,5,2,0
67,5,6,5,2,1
68,7,6,5,2,1
69,7,6,5,3,2
70,7,6,5,3,2
71,7,6,5,4,2
72,0,6,5,5,2
73,1,6,5,5,2
74,1,6,7,5,2
75,2,6,7,5,3
76,2,6,7,5,3
77,2,6,7,5,4
78,2,6,0,5,5
79,2,6,1,5,5
80,2,6,1,7,5
81,3,6,2,7,5
82,3,6,2,7,5
83,4,6,2,7,5
84,5,7,2,0,5
85,5,7,2,1,5
86,5,7,2,1,7
87,5,7,3,2,7
88,5,7,3,2,7
89,5,7,4,2,7
90,5,7,6,2,0
91,5,7,6,2,1
92,7,7,6,2,1
93,7,7,6,3,2
94,7,7,6,3,2
95,7,7,6,4,2
96,0,7,6,5,2
97,1,7,6,5,2
98,1,7,6,5,2
99,2,7,6,5,3
100,2,7,6,5,3
101,2,7,6,5,4
102,2,0,6,5,5
103,2,1,6,5,5
104,2,1,6,7,5
105,3,2,6,7,5
106,3,2,6,7,5
107,4,2,6,7,5
108,5,2,6,0,5
109,5,2,6,1,5
110,5,2,6,1,7
111,5,3,6,2,7
112,5,3,6,2,7
113,5,4,6,2,7
114,5,5,6,2,0
115,5,5,6,2,1
116,7,5,6,2,1
117,7,5,6,3,2
118,7,5,6,3,2
119,7,5,6,4,2
120,0,5,6,5,2
121,1,5,6,5,2
122,1,7,6,5,2
123,2,7,6,5,3
124,2,7,6,5,3
125,2,7,6,5,4
126,2,0,6,5,5
127,2,1,6,5,5
128,2,1,6,7,5
129,3,2,6,7,5
130,3,2,6,7,5
131,4,2,6,7,5
132,5,2,6,0,5
133,5,2,6,1,5
134,5,2,6,1,7
135,5,3,6,2,7
136,5,3,6,2,7
137,5,4,6,2,7
138,5,5,7,2,0
139,5,5,7,2,1
140,7,5,7,2,1
141,7,5,7,3,2
142,7,5,7,3,2
143,7,5,7,4,2
144,0,5,7,6,2
145,1,5,7,6,2
146,1,7,7,6,2
147,2,7,7,6,3
148,2,7,7,6,3
149,2,7,7,6,4
150,2,0,7,6,5
151,2,1,7,6,5
152,2,1,7,6,5
153,3,2,7,6,5
154,3,2,7,6,5
155,4,2,7,6,5
156,5,2,0,6,5
157,5,2,1,6,5
158,5,2,1,6,7
159,5,3,2,6,7
160,5,3,2,6,7
161,5,4,2,6,7
162,5,5,2,6,0
163,5,5,2,6,1
164,7,5,2,6,1
165,7,5,3,6,2
166,7,5,3,6,2
167,7,5,4,6,2
168,0,5,5,6,2
169,1,5,5,6,2
170,1,7,5,6,2
171,2,7,5,6,3
172,2,7,5,6,3
173,2,7,5,6,4
174,2,0,5,6,5
175,2,1,5,6,5
176,2,1,7,6,5
177,3,2,7,6,5
178,3,2,7,6,5
179,4,2,7,6,5
180,5,2,0,6,5
181,5,2,1,6,5
182,5,2,1,6,7
183,5,3,2,6,7
184,5,3,2,6,7
185,5,4,2,6,7
186,5,5,2,6,0
187,5,5,2,6,1
188,7,5,2,6,1
189,7,5,3,6,2
190,7,5,3,6,2
191,7,5,4,6,2
192,0,5,5,7,2
193,1,5,5,7,2
194,1,7,5,7,2
195,2,7,5,7,3
196,2,7,5,7,3
197,2,7,5,7,4
198,2,0,5,7,6
199,2,1,5,7,6
200,2,1,7,7,6
201,3,2,7,7,6
202,3,2,7,7,6
203,4,2,7,7,6
204,5,2,0,7,6
205,5,2,1,7,6
206,5,2,1,7,6
207,5,3,2,7,6
208,5,3,2,7,6
209,5,4,2,7,6
210,5,5,2,0,6
211,5,5,2,1,6
212,7,5,2,1,6
213,7,5,3,2,6
214,7,5,3,2,6
215,7,5,4,2,6
216,0,5,5,2,6
217,1,5,5,2,6
218,1,7,5,2,6
219,2,7,5,3,6
220,2,7,5,3,6
221,2,7,5,4,6
222,2,0,5,5,6
223,2,1,5,5,6
224,2,1,7,5,6
225,3,2,7,5,6
226,3,2,7,5,6
227,4,2,7,5,6
228,5,2,0,5,6
229,5,2,1,5,6
230,5,2,1,7,6
231,5,3,2,7,6
232,5,3,2,7,6
233,5,4,2,7,6
234,5,5,2,0,6
235,5,5,2,1,6
236,7,5,2,1,6
237,7,5,3,2,6
238,7,5,3,2,6
239,7,5,4,2,6
240,0,5,5,2,6
241,1,5,5,2,6
242,1,7,5,2,6
243,2,7,5,3,6
244,2,7,5,3,6
245,2,7,5,4,6
246,2,0,5,5,7
247,2,1,5,5,7
248,2,1,7,5,7
249,3,2,7,5,7
250,3,2,7,5,7
251,4,2,7,5,7
252,5,2,0,5,7
253,5,2,1,5,7
254,5,2,1,7,7
255,5,3,2,7,7
256,5,3,2,7,7
257,5,4,2,7,7
258,5,5,2,0,7
259,5,5,2,1,7
260,7,5,2,1,7
261,7,5,3,2,7
262,7,5,3,2,7
263,7,5,4,2,7
264,0,5,5,2,7
265,1,5,5,2,7
266,1,7,5,2,7
267,2,7,5,3,7
268,2,7,5,3,7
269,2,7,5,4,7
270,2,0,5,5,7
271,2,1,5,5,7
272,2,1,7,5,7
273,3,2,7,5,7
274,3,2,7,5,7
275,4,2,7,5,7
276,6,2,0,5,7
277,6,2,1,5,7
278,6,2,1,7,7
279,6,3,2,7,7
280,6,3,2,7,7
281,6,4,2,7,7
282,6,5,2,0,7
283,6,5,2,1,7
284,6,5,2,1,7
285,6,5,3,2,7
286,6,5,3,2,7
287,6,5,4,2,7
288,6,5,5,2,0
289,6,5,5,2,1
290,6,7,5,2,1
291,6,7,5,3,2
292,6,7,5,3,2
293,6,7,5,4,2
294,6,0,5,5,2
295,6,1,5,5,2
296,6,1,7,5,2
297,6,2,7,5,3
298,6,2,7,5,3
299,6,2,7,5,4
300,6,2,0,5,5
301,6,2,1,5,5
302,6,2,1,7,5
303,6,3,2,7,5
304,6,3,2,7,5
305,6,4,2,7,5
306,6,5,2,0,5
307,6,5,2,1,5
308,6,5,2,1,7
309,6,5,3,2,7
310,6,5,3,2,7
311,6,5,4,2,7
312,6,5,5,2,0
313,6,5,5,2,1
314,6,7,5,2,1
315,6,7,5,3,2
316,6,7,5,3,2
317,6,7,5,4,2
318,6,0,5,5,2
319,6,1,5,5,2
320,6,1,7,5,2
321,6,2,7,5,3
322,6,2,7,5,3
323,6,2,7,5,4
324,7,2,0,5,5
325,7,2,1,5,5
326,7,2,1,7,5
327,7,3,2,7,5
328,7,3,2,7,5
329,7,4,2,7,5
330,7,6,2,0,5
331,7,6,2,1,5
332,7,6,2,1,7
333,7,6,3,2,7
334,7,6,3,2,7
335,7,6,4,2,7
336,7,6,5,2,0
337,7,6,5,2,1
338,7,6,5,2,1
339,7,6,5,3,2
340,7,6,5,3,2
341,7,6,5,4,2
342,0,6,5,5,2
343,1,6,5,5,2
344,1,6,7,5,2
345,2,6,7,5,3
346,2,6,7,5,3
347,2,6,7,5,4
348,2,6,0,5,5
349,2,6,1,5,5
350,2,6,1,7,5
351,3,6,2,7,5
352,3,6,2,7,5
353,4,6,2,7,5
354,5,6,2,0,5
355,5,6,2,1,5
356,5,6,2,1,7
357,5,6,3,2,7
358,5,6,3,2,7
359,5,6,4,2,7
360,5,6,5,2,0
361,5,6,5,2,1
362,7,6,5,2,1
363,7,6,5,3,2
364,7,6,5,3,2
365,7,6,5,4,2
366,0,6,5,5,2
367,1,6,5,5,2
368,1,6,7,5,2
369,2,6,7,5,3
370,2,6,7,5,3
371,2,6,7,5,4
372,2,6,0,5,5
373,2,6,1,5,5
374,2,6,1,7,5
375,3,6,2,7,5
376,3,6,2,7,5
377,4,6,2,7,5
378,5,7,2,0,5
379,5,7,2,1,5
380,5,7,2,1,7
381,5,7,3,2,7
382,5,7,3,2,7
383,5,7,4,2,7
384,5,7,6,2,0
385,5,7,6,2,1
386,7,7,6,2,1
387,7,7,6,3,2
388,7,7,6,3,2
389,7,7,6,4,2
390,0,7,6,5,2
391,1,7,6,5,2
392,1,7,6,5,2
393,2,7,6,5,3
394,2,7,6,5,3
395,2,7,6,5,4
396,2,0,6,5,5
397,2,1,6,5,5
398,2,1,6,7,5
399,3,2,6,7,5
400,3,2,6,7,5
401,4,2,6,7,5
402,5,2,6,0,5
403,5,2,6,1,5
404,5,2,6,1,7
405,5,3,6,2,7
406,5,3,6,2,7
407,5,4,6,2,7
408,5,5,6,2,0
409,5,5,6,2,1
410,7,5,6,2,1
411,7,5,6,3,2
412,7,5,6,3,2
413,7,5,6,4,2
414,0,5,6,5,2
415,1,5,6,5,2
416,1,7,6,5,2
417,2,7,6,5,3
418,2,7,6,5,3
419,2,7,6,5,4
420,2,0,6,5,5
421,2,1,6,5,5
422,2,1,6,7,5
423,3,2,6,7,5
424,3,2,6,7,5
425,4,2,6,7,5
426,5,2,6,0,5
427,5,2,6,1,5
428,5,2,6,1,7
429,5,3,6,2,7
430,5,3,6,2,7
431,5,4,6,2,7
432,5,5,7,2,0
433,5,5,7,2,1
434,7,5,7,2,1
435,7,5,7,3,2
436,7,5,7,3,2
437,7,5,7,4,2
438,0,5,7,6,2
439,1,5,7,6,2
440,1,7,7,6,2
441,2,7,7,6,3
442,2,7,7,6,3
443,2,7,7,6,4
444,2,0,7,6,5
445,2,1,7,6,5
446,2,1,7,6,5
447,3,2,7,6,5
448,3,2,7,6,5
449,4,2,7,6,5
450,5,2,0,6,5
451,5,2,1,6,5
452,5,2,1,6,7
453,5,3,2,6,7
454,5,3,2,6,7
455,5,4,2,6,7
456,5,5,2,6,0
457,5,5,2,6,1
458,7,5,2,6,1
459,7,5,3,6,2
460,7,5,3,6,2
461,7,5,4,6,2
462,0,5,5,6,2
463,1,5,5,6,2
464,1,7,5,6,2
465,2,7,5,6,3
466,2,7,5,6,3
467,2,7,5,6,4
468,2,0,5,6,5
469,2,1,5,6,5
470,2,1,7,6,5
471,3,2,7,6,5
472,3,2,7,6,5
473,4,2,7,6,5
474,5,2,0,6,5
475,5,2,1,6,5
476,5,2,1,6,7
477,5,3,2,6,7
478,5,3,2,6,7
479,5,4,2,6,7
480,5,5,2,6,0
481,5,5,2,6,1
482,7,5,2,6,1
483,7,5,3,6,2
484,7,5,3,6,2
485,7,5,4,6,2
486,0,5,5,7,2
487,1,5,5,7,2
488,1,7,5,7,2
489,2,7,5,7,3
490,2,7,5,7,3
491,2,7,5,7,4
492,2,0,5,7,5
493,2,1,5,7,5
494,2,1,7,7,5
495,3,2,7,7,5
496,3,2,7,7,5
497,4,2,7,7,5
498,5,2,0,7,5
499,5,2,1,7,5
500,5,2,1,7,7
501,5,3,2,7,7
502,5,3,2,7,7
503,5,4,2,7,7
504,5,5,2,7,0
505,5,5,2,7,1
506,7,5,2,7,1
507,7,5,3,7,2
508,7,5,3,7,2
509,7,5,4,7,2
510,0,5,5,7,2
511,1,5,5,7,2
512,1,7,5,7,2
513,2,7,5,7,3
514,2,7,5,7,3
515,2,7,5,7,4
516,2,0,5,7,6
517,2,1,5,7,6
518,2,1,7,7,6
519,3,2,7,7,6
520,3,2,7,7,6
521,4,2,7,7,6
522,5,2,0,7,6
523,5,2,1,7,6
524,5,2,1,7,6
525,5,3,2,7,6
526,5,3,2,7,6
527,5,4,2,7,6
528,5,5,2,0,6
529,5,5,2,1,6
530,7,5,2,1,6
531,7,5,3,2,6
532,7,5,3,2,6
533,7,5,4,2,6
534,0,5,5,2,6
535,1,5,5,2,6
536,1,7,5,2,6
537,2,7,5,3,6
538,2,7,5,3,6
539,2,7,5,4,6
540,2,0,5,5,6
541,2,1,5,5,6
542,2,1,7,5,6
543,3,2,7,5,6
544,3,2,7,5,6
545,4,2,7,5,6
546,5,2,0,5,6
547,5,2,1,5,6
548,5,2,1,7,6
549,5,3,2,7,6
550,5,3,2,7,6
551,5,4,2,7,6
552,5,5,2,0,6
553,5,5,2,1,6
554,7,5,2,1,6
555,7,5,3,2,6
556,7,5,3,2,6
557,7,5,4,2,6
558,0,5,5,2,6
559,1,5,5,2,6
560,1,7,5,2,6
561,2,7,5,3,6
562,2,7,5,3,6
563,2,7,5,4,6
564,2,0,5,5,7
565,2,1,5,5,7
566,2,1,7,5,7
567,3,2,7,5,7
568,3,2,7,5,7
569,4,2,7,5,7
570,6,2,0,5,7
571,6,2,1,5,7
572,6,2,1,7,7
573,6,3,2,7,7
574,6,3,2,7,7
575,6,4,2,7,7
576,6,5,2,0,7
577,6,5,2,1,7
578,6,5,2,1,7
579,6,5,3,2,7
580,6,5,3,2,7
581,6,5,4,2,7
582,6,5,5,2,0
583,6,5,5,2,1
584,6,7,5,2,1
585,6,7,5,3,2
586,6,7,5,3,2
587,6,7,5,4,2
588,6,0,5,5,2
589,6,1,5,5,2
590,6,1,7,5,2
591,6,2,7,5,3
592,6,2,7,5,3
593,6,2,7,5,4
594,6,2,0,5,5
595,6,2,1,5,5
596,6,2,1,7,5
597,6,3,2,7,5
598,6,3,2,7,5
599,6,4,2,7,5
600,6,5,2,0,5
601,6,5,2,1,5
602,6,5,2,1,7
603,6,5,3,2,7
604,6,5,3,2,7
605,6,5,4,2,7
606,6,5,5,2,0
607,6,5,5,2,1
608,6,7,5,2,1
609,6,7,5,3,2
610,6,7,5,3,2
611,6,7,5,4,2
612,6,0,5,5,2
613,6,1,5,5,2
614,6,1,7,5,2
615,6,2,7,5,3
616,6,2,7,5,3
617,6,2,7,5,4
618,7,2,0,5,5
619,7,2,1,5,5
620,7,2,1,7,5
621,7,3,2,7,5
622,7,3,2,7,5
623,7,4,2,7,5
624,7,6,2,0,5
625,7,6,2,1,5
626,7,6,2,1,7
627,7,6,3,2,7
628,7,6,3,2,7
629,7,6,4,2,7
630,7,6,5,2,0
631,7,6,5,2,1
632,7,6,5,2,1
633,7,6,5,3,2
634,7,6,5,3,2
635,7,6,5,4,2
636,0,6,5,5,2
637,1,6,5,5,2
638,1,6,7,5,2
639,2,6,7,5,3
640,2,6,7,5,3
641,2,6,7,5,4
642,2,6,0,5,5
643,2,6,1,5,5
644,2,6,1,7,5
645,3,6,2,7,5
646,3,6,2,7,5
647,4,6,2,7,5
648,5,6,2,0,5
649,5,6,2,1,5
650,5,6,2,1,7
651,5,6,3,2,7
652,5,6,3,2,7
653,5,6,4,2,7
654,5,6,5,2,0
655,5,6,5,2,1
656,7,6,5,2,1
657,7,6,5,3,2
658,7,6,5,3,2
659,7,6,5,4,2
660,0,6,5,5,2
661,1,6,5,5,2
662,1,6,7,5,2
663,2,6,7,5,3
664,2,6,7,5,3
665,2,6,7,5,4
666,2,6,0,5,5
667,2,6,1,5,5
668,2,6,1,7,5
669,3,6,2,7,5
670,3,6,2,7,5
671,4,6,2,7,5
672,5,7,2,0,5
673,5,7,2,1,5
674,5,7,2,1,7
675,5,7,3,2,7
676,5,7,3,2,7
677,5,7,4,2,7
678,5,7,6,2,0
679,5,7,6,2,1
680,7,7,6,2,1
681,7,7,6,3,2
682,7,7,6,3,2
683,7,7,6,4,2
684,0,7,6,5,2
685,1,7,6,5,2
686,1,7,6,5,2
687,2,7,6,5,3
688,2,7,6,5,3
689,2,7,6,5,4
690,2,0,6,5,5
691,2,1,6,5,5
692,2,1,6,7,5
693,3,2,6,7,5
694,3,2,6,7,5
695,4,2,6,7,5
696,5,2,6,0,5
697,5,2,6,1,5
698,5,2,6,1,7
699,5,3,6,2,7
700,5,3,6,2,7
701,5,4,6,2,7
702,5,5,6,2,0
703,5,5,6,2,1
704,7,5,6,2,1
705,7,5,6,3,2
706,7,5,6,3,2
707,7,5,6,4,2
708,0,5,6,5,2
709,1,5,6,5,2
710,1,7,6,5,2
711,2,7,6,5,3
712,2,7,6,5,3
713,2,7,6,5,4
714,2,0,6,5,5
715,2,1,6,5,5
716,2,1,6,7,5
717,3,2,6,7,5
718,3,2,6,7,5
719,4,2,6,7,5
720,5,2,6,0,5
721,5,2,6,1,5
722,5,2,6,1,
723,5,3,6,2,
724,5,3,6,2,
725,5,4,6,2,
726,5,5,,2,
727,5,5,,2,
728,,5,,2,
729,,5,,3,
730,,5,,3,
731,,5,,4,
732,,5,,5,
733,,5,,5,
734,,,,5,
735,,,,5,
736,,,,5,
737,,,,5,
738,,,,5,
739,,,,5,
